"","ID","DATE","TIME","LAT","LON","VMAX","PER","ADAY","SPDX","PSLV","VPER","PC20","GSTD","POT","SHDC","T200","T250P","EPOS","RHMD","TWAT","Z850","D200","LSHDC","VSHDC","POT2","RHCN","SDIR","SHGC","POT_AVG","SHDC_AVG","T200_AVG","T250P_AVG","EPOS_AVG","RHMD_AVG","TWAT_AVG","Z850_AVG","D200_AVG","LSHDC_AVG","VSHDC_AVG","POT2_AVG","RHCN_AVG","SDIR_AVG","SHGC_AVG","RHLORI","SBTRI","PCRI30","RHCRI","RII30","RII35","RII40"
"AL081994.1","AL081994","940924",12,16,84.5,25,0,0.8043,-5.34601,605,0,51,462.5,112.26582,8.9,-51.95,0,12.55,61.5,0,60.5,52,2.47652,222.49998,12603.61523,9,-13.79478,-5.32514,114.84048,8.3,-52.28001,0,12.64,60.2,0,75.6,44.8,2.3494,207.5,13188.33691,15.2,-22.28046,-4.77619,71.4,NA,NA,75.2,NA,NA,NA
"AL081994.2","AL081994","940924",18,16.3,85.1,30,0,0.8043,-5.34601,632,0,57,528,109.57492,5.6,-51.9,0,13.8,59,0,68.5,48.5,1.57489,168,12006.66309,12,16.10104,-3.27958,110.95027,9.86,-52.28,0,13.28,59.2,0,82.8,42,2.81215,295.80002,12309.96289,19,-25.89337,-4.7971,70.6,NA,NA,79,NA,NA,NA
"AL081994.3","AL081994","940925",0,16.5,85.9,30,5,0.7788,-6.57782,584,150,62,519.00006,110.99457,3.95,-52.25,0,13.45,59,0,81.5,40.5,1.12686,118.5,12319.79395,16.5,-13.15258,-2.44866,110.64853,10.04,-52.44,0,13.54,59,0,87.6,43,2.87291,301.20001,12243.09668,23.2,-33.05244,-3.58176,70.8,NA,NA,83.2,NA,NA,NA
"AL081994.4","AL081994","940925",6,16.6,86.7,30,0,0.7788,-7.853,576,0,58,528,111.95645,10.9,-52.65,0,12.1,60,0,90,34.5,3.12716,327,12534.24707,21.5,-63.21318,-6.20488,110.21866,12.52,-52.44,0,13.46,59.6,0,92.6,37.8,3.58204,375.59998,12148.15234,26,-55.35892,-3.69678,72.6,NA,NA,86,NA,NA,NA
"AL081994.5","AL081994","940925",12,16.7,87.6,30,0,0.7788,-7.94036,524,0,52,564.00006,112.18512,16.05,-52.65,0,12.9,59,0,95.5,41.5,4.59843,481.50003,12585.50098,27,-46.37507,-6.67497,109.88089,15.3,-52.5,0,13.4,59.6,0,92.2,41.6,4.36959,459,12073.80957,28.6,-52.46531,-3.19273,73.6,NA,NA,88.6,NA,NA,NA
"AL081994.6","AL081994","940925",18,16.6,88.4,30,0,0.7788,-8,640,0,53,561,109.28593,13.25,-52.35,0,14.8,58.5,0,90.5,47.5,3.78531,397.5,11943.41504,28.5,-40.72473,-2.33905,109.57439,15.96,-52.32,0,14.3,59.2,0,93.6,47.6,4.54646,478.79999,12006.5459,11.4,-48.2239,-1.71814,74.4,NA,NA,71.4,NA,NA,NA
"AL081994.7","AL081994","940926",0,16.6,88.7,30,0,0.75243,-4.98098,561,0,54,552,107.74588,12.25,-52.3,0,14.25,60,0,93,38,3.49963,367.5,11609.1748,30,-57.56284,-0.52879,109.04584,15.875,-52.325,0,14.225,59.5,0,92.75,48.5,4.51892,476.25,11890.99512,7.75,-51.46923,-0.89353,75.25,NA,NA,67.75,NA,NA,NA
"AL081994.8","AL081994","940926",6,16.6,88.9,25,0,0.75243,-2,562,0,42,480.00003,114.07547,11.9,-52.4,0,13.1,60.5,-0.2,93,37,3.38985,297.5,13013.21289,30.5,-47.99426,-0.58488,114.76671,10.73333,-52.3,0,13.96667,59.66667,0.2,95.66666,47.66667,3.05513,268.33334,13171.39746,0.33333,-51.7247,-0.5638,76.33334,NA,NA,60.33333,NA,NA,NA
"AL081994.9","AL081994","940926",12,16.5,89.2,25,0,0.75243,-1.9563,550,0,39,502.5,115.34579,19.5,-52.35,0,14.2,59,0,92.5,59,5.53821,487.5,13304.65234,0,-45.37562,-1.25828,115.34579,19.5,-52.35,0,14.2,59,0,92.5,59,5.53821,487.5,13304.65234,0,-45.37562,-1.25828,76.5,NA,NA,45.5,NA,NA,NA
"AL081994.10","AL081994","940926",18,16.5,89.5,25,0,0.75243,-2.95443,573,0,41,497.5,116.14919,19.1,-52.1,0,15.7,58,0,101,69,5.4246,477.5,13490.63281,0,-36.3005,-0.9604,116.14919,19.1,-52.1,0,15.7,58,0,101,69,5.4246,477.5,13490.63281,0,-36.3005,-0.9604,76,NA,NA,0,NA,NA,NA
"AL091994.1","AL091994","940927",12,13.8,20.8,30,0,0.72534,-0.9407,502,0,50,531,91.22583,17.4,-52.85,0,12.1,47,0.2,17,1.5,4.3019,522,8322.15234,0,-67.5891,-2.06246,84.83984,19.8,-52.92,0,10.68,47.4,0.2,19,-2,5.16642,594,7197.79932,0,-71.0296,-1.67302,65.4,NA,NA,1.6,NA,NA,NA
"AL091994.2","AL091994","940927",18,14.7,20.9,30,0,0.72534,-0.9407,584,0,41,534.00006,84.59622,20.15,-52.8,0,11.2,46.5,0.2,27,-10.5,5.19914,604.5,7156.521,0,-73.73624,-0.90617,81.0257,22.58,-52.9,0,10.28,47,-0.7,12.2,-5.6,6.07259,677.40002,6565.16357,0,-72.00657,-1.57323,65.6,NA,NA,0.6,NA,NA,NA
"AL091994.3","AL091994","940928",0,15.2,20.9,30,0,0.69768,-0.48825,548,0,43,534.00006,81.09541,19.05,-52.95,0,9.75,47.5,-0.2,30,-8,5.03905,571.5,6576.46484,0,-73.74807,-0.21946,78.2506,25.2,-53.04,0,9.48,46.6,-0.9,11.6,-0.2,6.93668,756,6123.15576,0,-70.69942,-1.18661,65.8,NA,NA,0,NA,NA,NA
"AL091994.4","AL091994","940928",6,15.5,21.1,30,0,0.69768,-0.96766,641,0,42,531,80.13577,21.9,-52.95,0,9.55,48.5,0,12.5,-2.5,5.94013,657.00006,6421.74219,0,-73.84419,-2.24085,77.44424,26.4,-53.05,0,9.325,46.75,-0.7,5.5,1.75,7.33384,792.00006,5997.60986,0,-70.50119,-1.56864,66,NA,NA,0,NA,NA,NA
"AL091994.5","AL091994","940928",12,15.9,21.5,30,0,0.69768,-3.2139,647,0,37,552,77.61063,27.5,-53,0,9.8,46.5,-0.7,-8.5,0.5,7.63068,825,6023.40918,0,-68.67284,-2.78566,76.35404,29.3,-53.1,0,9.3,46,-0.7,-0.66667,5,8.20177,879.00006,5829.93994,0,-68.93003,-1.86471,65.33334,NA,NA,0,NA,NA,NA
"AL091994.6","AL091994","940928",18,16.3,21.9,30,0,0.69768,-4.16791,722,0,36,555,74.7527,30.9,-53.15,0,9.1,45,0,-1.5,6,8.72754,927.00006,5587.96631,0,-67.1582,-0.84644,74.7527,30.9,-53.15,0,9.1,45,0,-1.5,6,8.72754,927.00006,5587.96631,0,-67.1582,-0.84644,65,NA,NA,0,NA,NA,NA
"AL091994.7","AL091994","940929",0,16.5,22.1,25,-5,0.66958,-2.77861,706,-125,25,495.00003,78.84089,32.9,-53.3,0,8.3,45,0,15,14,9.34395,822.50006,6215.88574,0,-69.44443,-0.0228,78.84089,32.9,-53.3,0,8.3,45,0,15,14,9.34395,822.50006,6215.88574,0,-69.44443,-0.0228,65,NA,NA,0,NA,NA,NA
"AL101994.1","AL101994","940929",6,20.5,86,25,0,0.66958,4.774,525,0,44,492.50003,114.27493,18.25,-52.35,0,12.25,65,0,77,65.5,6.46381,456.25,13058.76074,41,-17.98018,-0.07149,112.1713,19.18,-52.48,0,12.82,63.8,0,60,54,7.08722,479.5,12582.39941,42.6,-13.56621,0.45292,73.2,NA,NA,102.6,NA,NA,NA
"AL101994.2","AL101994","940929",12,21,85.5,25,0,0.66958,4.774,508,0,42,505.00003,115.87646,19.1,-52.75,0,12.65,64,0,67,65,7.01035,477.5,13427.35547,43.5,-13.93915,-1.06733,112.70055,19.92,-52.74,0,12.7,62,0,53.6,46.2,7.52792,498,12701.41309,40.4,-10.29581,-0.08953,72,NA,NA,100.4,NA,NA,NA
"AL101994.3","AL101994","940929",18,22,85,30,5,0.66958,4.7693,482,150,49,591,106.18393,19.15,-52.7,0,13.15,64,0,55.5,52,7.217,574.5,11275.02734,44,-12.17638,0.03361,107.33522,21.96,-52.72,0,12.92,61,0,52.4,39.2,8.52984,658.80005,11520.84961,34.6,-9.61039,0.32441,71,NA,NA,94.6,NA,NA,NA
"AL101994.4","AL101994","940930",0,22.3,85,30,5,0.64118,2.39417,521,150,47,585,103.81812,19.5,-52.5,0,13.1,62,0,43,40,7.43332,585,10778.20117,43,-8.06335,1.13188,106.75142,22.35,-52.725,0,12.8,60,0,50.5,34.25,8.75183,670.5,11395.86523,31.5,-8.07699,0.36956,70.25,NA,NA,91.5,NA,NA,NA
"AL101994.5","AL101994","940930",6,22.5,85.2,30,0,0.64118,-1.02604,555,0,39,597,107.02618,21.75,-52.75,0,12.65,59.5,0,41.5,28,8.41337,652.5,11454.60449,35.5,-7.49601,0.88181,108.10274,23.83333,-52.73333,0,12.76667,59,0,50.33333,30.66667,9.40506,715,11686.20215,27.66666,-7.89973,0.51827,69.66666,NA,NA,87.66666,NA,NA,NA
"AL101994.6","AL101994","940930",12,23,85.5,30,0,0.64118,-2.17853,580,0,38,606,109.68472,25.2,-52.95,0,12.5,58,0,58,28.5,10.07034,756,12030.73828,20,-8.09063,-0.39277,109.68472,25.2,-52.95,0,12.5,58,0,58,28.5,10.07034,756,12030.73828,20,-8.09063,-0.39277,69,NA,NA,80,NA,NA,NA
"AL101994.7","AL101994","940930",18,24,86,25,-5,0.64118,-3.50691,658,-125,31,527.5,115.25584,28,-52.7,0,13,58,0,68,36,11.38845,700,13283.90918,12,-8.70719,-0.2088,115.25584,28,-52.7,0,13,58,0,68,36,11.38845,700,13283.90918,12,-8.70719,-0.2088,68,NA,NA,72,NA,NA,NA
"AL011995.1","AL011995","950603",0,17.4,84.3,30,0,2e-05,-5.82904,604,0,64,438,110.06433,13.85,-51.05,0,13.2,64.5,0.3,103.5,93,4.2321,415.5,12114.15723,13.5,-45.61175,-0.93101,110.12627,18.54,-51.42,0,13.36,62.2,2.2,86.8,82.8,6.29465,556.20001,12127.79492,19.2,-31.27897,-0.5622,70,14.6,44,79.2,17,12,8
"AL011995.2","AL011995","950603",6,18.3,84.9,30,0,2e-05,-5.82904,588,0,67,465,110.94879,15.85,-51.6,0,12.4,62.5,0.5,84.5,74,5.13861,475.5,12309.63477,21.5,-32.28131,0.06075,109.35896,21.36,-51.52,0,13.22,60.2,1.5,74.2,70.6,7.71117,640.80005,11959.38281,21,-24.58048,0.2199,68.4,15.5,55,81,15,1,1
"AL011995.3","AL011995","950603",12,19.3,85.7,35,5,2e-05,-6.88283,637,175,54,861,106.07312,20.2,-51.85,0,13.4,59.5,0.9,77,80,6.89808,707,11251.50684,24.5,-24.52169,0.6926,103.1759,26.06,-51.66,0,13.14,59.2,1.2,57.2,66.8,9.9278,912.10004,10645.2666,20,-19.60553,0.35474,68.4,24.6,47,80,11,1,1
"AL011995.4","AL011995","950603",18,20.6,85.8,40,10,2e-05,-4.10416,599,400,68,876,99.81827,22.6,-51.45,0,14.15,60.5,0.5,79.5,77,8.23036,904,9963.68652,23,-19.29054,-0.2954,96.72331,28.22,-51.5,0,13.34,58.8,1.3,54.8,69.4,11.31784,1128.79993,9355.39941,11.8,-14.55039,0.74631,68.2,21.9,58,71.8,3,1,1
"AL011995.5","AL011995","950604",0,22,86,50,15,2e-05,-1.46331,508,750,77,900,86.80856,27.05,-51.4,0,13.3,59,-0.4,58,59.5,10.44284,1352.5,7535.72656,18,-18.4423,-0.12798,83.69179,29.76,-51.42,0,13.04,58,0.6,46.8,71,12.49542,1488,7004.31543,0,-8.79698,0.91235,68.2,18,69,57.8,3,1,1
"AL011995.6","AL011995","950604",6,23.3,86.3,60,20,2e-05,-2.43098,626,1200,95,588,75.18845,32.75,-51.65,0,12.65,57,0.2,29.5,53,13.35346,1965,5653.30225,15.5,-16.42815,1.30466,70.56143,32.56,-51.48,0,12.62,56.2,2.5,38.8,71.4,14.33041,1953.6001,4978.91553,0,-2.65489,1.23484,67.4,9.8,89,43.6,3,1,1
"AL011995.7","AL011995","950604",12,24.7,86.2,65,15,2e-05,-0.9765,592,975,91,786.5,69.35968,33.1,-51.55,0,12.7,59,1,36,71,14.19049,2151.5,4810.76514,0,-6.70713,1.27623,62.31895,31.06,-51.52,0,12.04,55.6,2.2,35.2,75.2,14.17459,2018.90015,3883.65112,0,6.10538,0.98727,67.8,12.1,85,29,3,1,1
"AL011995.8","AL011995","950604",18,26.2,86.2,65,5,2e-05,0.48868,576,325,99,513.5,64.86281,29.5,-51.25,0,13.15,56.5,-0.2,51,90.5,13.33691,1917.5,4207.18408,0,2.49971,2.13275,57.29994,30.06,-51.42,0,12.24,53.6,1.9,41.4,87.8,14.32804,1953.90015,3283.28345,0,13.63158,1.57541,66.4,7.9,93,14,3,1,1
"AL011995.9","AL011995","950605",0,27.6,86.1,65,0,3e-05,0.48868,640,0,96,650,59.41354,33.45,-51.4,0,12.35,54,1.5,39.5,82,15.76179,2174.25,3529.96826,0,10.4482,0.82593,50.16193,29.96,-51.38,0,12.04,51.4,2.5,38,90.2,14.79317,1947.40002,2516.21875,0,20.84818,1.98353,65.4,10,91,5.6,3,1,1
"AL011995.10","AL011995","950605",6,28.5,85.6,60,-5,3e-05,2.69947,655,-300,87,744.00006,60.87645,30.25,-51.65,0,10.8,53,-0.1,29,70,14.62096,1815,3705.94214,0,18.8136,0.01641,52.4218,30.3,-51.425,0,11.75,50.75,1,36,89.25,15.18013,1818.00012,2748.04492,0,24.58905,1.91619,65,12.4,79,3,3,1,1
"AL011995.11","AL011995","950605",12,29.6,84.7,60,-5,3e-05,6.35907,619,-300,43,1506,54.53473,26.5,-51.5,0,11.7,50.5,0.7,36,94,13.34492,1590,2974.03662,0,24.28802,2.15276,48.99418,27.6,-51.36667,0,11.83333,49.66667,1.1,37,95.66666,14.13096,1656,2400.42944,0,27.7815,2.75584,65,25.1,40,1,3,1,1
"AL011995.12","AL011995","950605",18,30.7,83.8,45,0,3e-05,7.45653,656,0,50,990,58.96713,30.3,-51.2,0,12.7,48.5,0.4,43,108.5,15.71377,1363.5,3477.1228,0,30.36449,3.77037,58.96713,30.3,-51.2,0,12.7,48.5,0.4,43,108.5,15.71377,1363.5,3477.1228,0,30.36449,3.77037,64.5,22,44,0,3,1,1
"AL011995.13","AL011995","950606",0,31.8,82.8,30,0,4e-05,8.42545,707,0,46,483,67.91307,29.9,-51.1,0,12.1,48,0,39,99,15.75574,897,4612.18506,0,34.76846,3.95404,67.91307,29.9,-51.1,0,12.1,48,0,39,99,15.75574,897,4612.18506,0,34.76846,3.95404,65,16.1,33,0,3,1,1
"AL021995.1","AL021995","950705",6,32,72,20,0,0.00682,0,761,0,33,546,64.57437,14.85,-55.75,-0.25,9.05,44.5,0,-76.5,-20.5,7.86918,297,4169.84961,0,10.63289,-4.62093,65.91513,15.34,-55.7,-0.28,8.98,44.6,0,-69.4,-13.2,8.10157,306.80002,4344.80469,0,4.38353,-3.52082,55.8,27.3,31,0,3,1,1
"AL021995.2","AL021995","950705",12,32,72,20,0,0.00682,0,750,0,45,634,65.54047,15.15,-55.9,-0.45,9,46,0,-60.5,-2.5,8.01675,303,4295.55273,0,7.48697,-1.55852,66.78673,15.3,-55.84,-0.48,8.96,44.4,0,-63.6,-7.4,8.05871,306,4460.4668,0,3.37884,-2.76261,55.4,31.7,40,0,3,1,1
"AL021995.3","AL021995","950705",18,31.9,72,20,0,0.00682,0,734,0,51,450,66.30792,17.25,-55.8,-0.25,8.95,46,-0.2,-58,-4.5,9.10156,345,4396.74072,0,4.77358,-1.49893,67.48131,15.32,-55.92,-0.54,9.14,44,-0.2,-54.6,2.4,8.03724,306.40002,4553.72705,0,2.96432,-2.30042,54.4,22.5,47,0,3,1,1
"AL021995.4","AL021995","950706",0,31.8,72,25,5,0.00791,-2e-05,743,125,37,570,62.25114,15.8,-55.55,-0.25,8.9,43.5,-0.4,-73,-19.5,8.31621,395.00003,3875.2041,0,-2.72028,-3.41784,62.985,15.98,-56,-0.62,9.4,42.6,0.3,-49.4,-1.8,8.35193,399.5,3967.11035,0,0.94691,-2.56582,53.2,22.8,33,0,3,1,1
"AL021995.5","AL021995","950706",6,31.7,71.9,25,5,0.00791,0.39071,684,125,38,780,63.08076,12.3,-55.85,-0.7,8.95,42.5,0.3,-64.5,-4.5,6.44581,307.5,3979.18286,0,0.47111,-3.9098,63.53079,14.26,-56.12,-0.8,9.82,41.8,1,-40.4,-0.2,7.43958,356.49997,4036.16162,0,-2.64369,-3.72687,52.4,31.2,36,0,3,1,1
"AL021995.6","AL021995","950706",12,31.5,71.7,30,5,0.00791,1.28554,621,150,44,753,58.48981,14.6,-56.3,-0.9,9.45,43,0.1,-39.5,18.5,7.60229,438,3421.05762,0,6.85983,-2.01652,58.76664,14.66,-56.32,-0.92,10.3,41.6,0.2,-30.2,9.2,7.67183,439.80002,3453.51782,0,1.14579,-3.38638,52.4,25.1,38,0,3,1,1
"AL021995.7","AL021995","950706",18,31.3,71.6,30,5,0.00791,1.08924,523,150,37,936,58.53613,18.25,-56.3,-0.8,10.1,41.5,0.3,-25,11.5,9.48108,547.5,3426.47876,0,0.39384,-1.32296,58.46217,15.92,-56.16,-0.76,10.8,41.6,0.9,-20,14,8.42097,477.60001,3417.82495,0,1.3524,-3.7315,53.2,31.2,33,0,3,1,1
"AL021995.8","AL021995","950707",0,31.3,71.3,30,0,0.00915,1.73203,589,0,23,549.00006,58.93162,14.6,-56.3,-0.9,10.65,40.5,0.3,-22.5,-11,7.60742,438,3472.93555,0,-9.24644,-5.06506,57.76369,14.8,-56.02,-0.66,10.86,41.4,1.5,-14.4,15.2,7.93274,444.00003,3336.64453,0,5.02997,-4.9427,54.2,18.3,18,0,3,1,1
"AL021995.9","AL021995","950707",6,31.6,71,35,5,0.00915,2.59808,561,175,19,777,54.20523,12.5,-56.35,-1,11.15,41,-0.5,-25,8,6.61596,437.5,2938.20703,0,-2.22309,-5.46924,52.28764,13.16,-55.94,-0.66,10.9,41.6,1,-8.2,21.4,7.19547,460.59998,2733.99756,0,12.26286,-5.77191,55.8,22.2,15,0,3,1,1
"AL021995.10","AL021995","950707",12,32.2,70.6,40,10,0.00915,2.72321,596,400,31,872.00006,47.90921,16.5,-55.95,-0.6,11.4,42,0.8,-13.5,31,8.92524,660,2295.29248,0,10.46135,-3.92092,47.18158,13.68,-55.93999,-0.78,10.58,42.4,2.4,-3.6,29.6,7.62668,547.20001,2226.10156,0,27.01612,-5.13492,58.2,21.8,27,0,11,1,1
"AL021995.11","AL021995","950707",18,33.2,70.2,60,25,0.00915,3.51662,660,1500,35,1620,25.98245,14.95,-55.55,-0.25,10.85,42.5,0.9,0,33.5,8.25456,897.00006,675.08783,0,16.57027,-5.8573,27.50083,13.78,-55.86,-0.86,10.3,43.2,1.1,7,34.6,7.90022,826.80005,756.29572,0,35.80522,-5.03009,60,27,31,0,3,1,1
"AL021995.12","AL021995","950708",0,34,69.6,60,20,0.01056,4.22622,657,1200,54,918,27.38092,11.35,-55.75,-0.55,10.35,41.5,-0.2,4.5,30,6.41734,681,749.71478,0,27.66997,-6.52398,30.97775,13.46,-56,-1.18,9.78,43.6,-0.1,15.8,35.2,7.98135,807.60004,959.62067,0,43.939,-4.59756,61.2,15.3,35,0,3,1,1
"AL021995.13","AL021995","950708",6,34.9,68.9,55,-5,0.01056,5.29923,690,-275,30,599.50006,34.6568,11.8,-56.1,-1.2,9.95,43,0.9,4.5,25,6.84227,649,1201.09375,0,45.71895,-5.54562,35.3559,16,-56.08,-1.58,8.98,44.6,1,27.6,36.6,9.84595,880,1250.03943,0,50.345,-4.31957,63,10.9,13,0,3,1,1
"AL021995.14","AL021995","950708",12,35.9,68.2,50,-10,0.01056,5.66546,683,-500,3,405.00003,43.21622,14.1,-56.15,-1.5,9.65,45,-0.5,13,41,8.40716,705,1867.64209,0,56.63282,-3.6117,37.32792,18.26,-56.26,-1.92,7.74,45.2,0.6,35.8,40.6,11.58212,913,1393.37354,0,52.67101,-4.58866,64.2,8.1,0,0,3,1,1
"AL021995.15","AL021995","950708",18,37.2,67.2,50,-5,0.01056,6.69554,751,-250,28,1030,44.20624,15.9,-56.1,-1.6,9.4,45,-0.3,35,45,9.7833,795,1954.19141,0,52.76855,-2.53132,32.64685,19.8,-56.22,-1.96,6.74,44.8,1.8,46,45.4,12.94673,989.99994,1065.81689,0,46.15742,-4.56577,64.6,20.6,20,0,3,1,1
"AL021995.16","AL021995","950709",0,38.7,66,50,0,0.01216,8.47876,669,0,51,1365,38.87392,20.6,-56.1,-2.05,7.55,46,0.9,51.5,38.5,13.17875,1030,1511.1814,0,52.91972,-4.12568,27.29828,21.46,-56.14,-2.12,5.08,44.2,2.2,50.8,41.4,14.51371,1073,745.19604,0,41.11789,-5.53603,64.8,27.3,42,0,3,1,1
"AL021995.17","AL021995","950709",6,40.5,64.6,50,0,0.01216,10.06853,661,0,68,885.00006,28.25636,23.3,-56.4,-2.4,5.25,45.5,0.5,54.5,43.5,15.38996,1165,798.42163,0,49.5,-6.35472,21.99976,22.16,-55.9,-2.28,3.3,45,1.5,50,41,15.44725,1108,483.98926,0,31.65,-5.3254,66,17.7,64,0,3,1,1
"AL021995.18","AL021995","950709",12,42.3,63.1,50,0,0.01216,10.81587,577,0,70,795,20.38419,21.25,-56.45,-2.15,4.35,43.5,0.7,50.5,47,14.56297,1062.5,415.51505,0,35.25,-6.16264,18.98634,21.45,-55.875,-2.275,2.575,44.5,1,47.75,40.5,15.24446,1072.5,360.48123,0,25.6875,-5.29449,66,15.9,60,0,3,1,1
"AL021995.19","AL021995","950709",18,44.3,61.7,50,0,0.01216,10.66589,627,0,49,695,18.14213,22.1,-55.85,-2,3,42.5,0.1,50.5,43,15.7387,1105,329.13681,0,27.75,-6.03079,17.82869,21.4,-55.56667,-2.2,2,44.66667,0.3,47,39.33333,15.48544,1070,317.86218,0,19.75,-4.63919,66.33334,13.9,33,0,3,1,1
"AL021995.20","AL021995","950710",0,46.4,60.5,45,0,0.01397,8.9483,637,0,30,621,22.5885,21.7,-55.3,-2.4,0.8,45.5,0.2,45,34,15.96216,976.50006,510.24039,0,16.125,-4.42766,22.5885,21.7,-55.3,-2.4,0.8,45.5,0.2,45,34,15.96216,976.50006,510.24039,0,16.125,-4.42766,67,13.8,19,0,3,1,1
"AL021995.21","AL021995","950710",6,48.5,59.2,40,0,0.01397,8.61605,599,0,30,408,27.20181,20,-55,-2.6,0,49,0,40,32,14.97893,800,739.9386,0,3.75,-1.856,27.20181,20,-55,-2.6,0,49,0,40,32,14.97893,800,739.9386,0,3.75,-1.856,70,10.2,13,0,3,1,1
"AL031995.1","AL031995","950712",0,17.1,54.9,25,0,0.01832,-15.45477,650,0,47,485,117.47032,25.15,-53.65,0,13.7,38.5,0.6,-13.5,16,7.48898,628.75006,13799.27637,4,-46.61113,-3.3967,117.33586,23,-53.54,0,14.44,38.2,0.6,0,26,7.11296,575,13767.7041,5.6,-43.19377,-0.12143,41.6,NA,NA,65.6,NA,NA,NA
"AL031995.2","AL031995","950712",6,17.5,56.5,25,0,0.01832,-15.45477,707,0,36,782.5,120.34251,29.45,-53.55,0,14.4,38,0.8,-9,30.5,9.00869,736.25,14482.32031,5,-40.34354,-3.96721,116.82576,23.68,-53.36,0,15.04,38.4,0,-2.8,23.4,7.5241,592,13648.25781,4.8,-43.33929,1.89819,42.2,31.3,34,64.8,3,1,1
"AL031995.3","AL031995","950712",12,18.1,58.3,25,0,0.01832,-16.25713,710,0,42,815.00006,119.15549,23.35,-53.35,0,15,38,-0.8,13.5,43.5,7.33367,583.75,14198.03027,8.5,-35.56697,0.03052,115.71338,22.7,-53.3,0,15.26,38.8,-0.8,5.2,23.6,7.42957,567.5,13389.58594,3.4,-41.26032,2.64322,43,32.6,40,63.4,3,1,1
"AL031995.4","AL031995","950712",18,18.7,59.9,30,5,0.01832,-15.97471,813,150,41,663,110.35738,17,-53.45,0,15.15,38.5,0,8.5,26,5.52461,510,12178.75,8,-43.18991,5.3494,109.21225,19.9,-53.28,0,15.46,39.8,0,3.4,16.6,6.69718,597,11927.31543,2.2,-41.47133,4.64482,44.4,22.1,31,62.2,3,1,1
"AL031995.5","AL031995","950713",0,19.2,61,30,5,0.0209,-12.88701,684,150,52,567,108.07834,21.35,-53.25,0,15.45,38.5,-0.2,-6.5,7.5,7.09889,640.5,11680.92773,0.5,-51.51686,5.26739,107.8374,22.06,-53.34,0,15.34,40.4,0.7,-2,9.8,7.59004,661.80005,11628.90527,0.4,-42.35301,2.3282,45.6,NA,NA,60.4,NA,NA,NA
"AL031995.6","AL031995","950713",6,19.6,61.9,30,0,0.0209,-9.06303,673,0,43,582,108.41411,24.4,-53.05,0,15.75,40,0,-0.5,10,8.28051,732.00006,11753.61914,0,-41.77751,3.51494,106.37985,22.04,-53.18,0,15.28,41.4,0,-2.4,13.8,7.70566,661.19995,11316.67285,1,-36.94335,3.59256,46.8,NA,NA,61,NA,NA,NA
"AL031995.7","AL031995","950713",12,20.1,62.7,30,0,0.0209,-7.87153,630,0,41,597,108.80878,22.35,-53.35,0,15.45,41.5,-0.4,6.5,13.5,7.75431,670.5,11839.34961,0,-36.71109,-0.0034,104.82312,22.14,-53.34,0,14.86,41.8,0.7,4.6,23,7.8536,664.19995,10987.88672,2.6,-33.66884,1.09219,47,NA,NA,62.6,NA,NA,NA
"AL031995.8","AL031995","950713",18,20.6,63.6,30,0,0.0209,-7.63238,682,0,46,576,106.96555,20.45,-53.45,0,15.2,42,-0.2,-4.5,9,7.28842,613.5,11441.62793,1,-36.86444,1.8691,103.60948,21.24,-53.42,0,14.56,42.2,1.6,10.6,22.6,7.6313,637.20001,10734.9248,3.8,-32.77048,2.20396,47.2,NA,NA,63.8,NA,NA,NA
"AL031995.9","AL031995","950714",0,21.1,64.4,35,5,0.02381,-7.63238,676,175,50,668.5,98.27637,21.5,-53.2,0,14.7,42.5,0.3,-6,19,7.73981,752.5,9658.24414,5,-33.93347,1.72854,98.10765,22.56,-53.52,0,14.28,41.8,1.6,13.8,18.6,8.19179,789.59998,9625.11133,3.8,-29.89557,1.71147,47.2,NA,NA,63.8,NA,NA,NA
"AL031995.10","AL031995","950714",6,21.1,64.9,35,5,0.02381,-6.49026,686,175,50,661.5,95.54262,22.55,-53.25,0,14.25,42,0,10,40.5,8.1178,789.25,9128.3916,6,-25.90867,2.61293,98.34798,22.92,-53.46,0,14.18,41,0,15.4,21.2,8.4154,802.20007,9672.32422,1.8,-25.44518,1.40196,47.2,NA,NA,61.8,NA,NA,NA
"AL031995.11","AL031995","950714",12,21.1,65.2,35,0,0.02381,-4,577,0,46,686,96.48819,22.6,-53.65,0,13.95,42,0.5,32,32,8.17192,791,9309.9707,5.5,-28.78288,2.46875,98.72772,24.26,-53.6,0,14.06,40.2,1.1,16.6,18,9.04136,849.10004,9747.16309,0,-24.40949,0.17093,47.2,NA,NA,59.2,NA,NA,NA
"AL031995.12","AL031995","950714",18,21.3,65.5,40,5,0.02381,-2.81907,572,200,49,752.00006,94.52013,23.4,-53.8,0,14,41.5,-0.2,29.5,2.5,8.59978,936.00006,8934.05469,1.5,-27.27791,1.49478,93.90457,22.7,-53.62,0,14.32,39.6,0.5,18.8,12,8.58325,908,8818.06836,0,-21.87226,-0.28124,47.6,NA,NA,56.6,NA,NA,NA
